Name,Author(s)/Owner(s),File,Related Draft,Tags,Topic,Type,URL,Year
Book Review: Reinforcement Learning (First Edition),C. R. Gallistel,Sources%20&%20Notes%2088f4d0ebb9934312ab55e0694466c345/Reinforcement_learning_Book_Review.pdf,,Primary,Reinforcement Learning,Book Review,https://d1wqtxts1xzle7.cloudfront.net/6985553/ivry_rev-libre.pdf?1390849262=&response-content-disposition=inline%3B+filename%3DReinforcement_learning.pdf&Expires=1682093314&Signature=ZhDZcW794fNNJCOM42DJjjjHoTZ~Pf0OiubEO-XEoDvEtTS-UicOwL54fqbBxdLPLzLe9qTLOtHKgDKqLPPHBak8Rc2CMC6X45QmbjdtGUtsBLmSV80g6SEEr9mL8EvJxWRJkPJIqMI4HIuFgENEWVTy5MXgoArlrcBwFoZ7DCWPvh2Kc7lCequ5RPMfbLa6rR~vaMXJm9t~9DNUr~VLvHc2hYVjGKiqdhRtSu5v0ALf7PxoC22x8isEVaS21eILtcEka1rBGIrvrR-ak3ReyGMrlbE7LdiQdCDTGjsIXohtGD6ibCHo0HNqgFOxptqZowh6afZEkOffbQlzArkiKw__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,1998
"Reinforcement Learning, second edition: An Introduction.",Sutton Richard S. and Barto G. Andrew,,,Primary,Reinforcement Learning,Book,https://books.google.ie/books?hl=en&lr=&id=uWV0DwAAQBAJ&oi=fnd&pg=PR7&dq=Reinforcement+Learning&ots=mivGn50Xl7&sig=6UlgRLYE4msj7sTgXzMVwVzt0oc&redir_esc=y#v=onepage&q=Reinforcement%20Learning&f=false,2018
An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, Matthias Minderer, Georg Heigold, Sylvain Gelly, Jakob Uszkoreit, Neil Houlsby",,,Primary,Vision Transformer,Paper,https://arxiv.org/pdf/2010.11929.pdf,2021
Neural Machine Translation by jointly learning to align and translate,"Dzmitry Bahdanau, KyungHyun Cho Yoshua Bengio",,,Primary,Attention,Paper,https://arxiv.org/pdf/1409.0473.pdf,2015
An Introduction to Convolutional Neural Network,Keiron O’Shea and Ryan Nash,,,Primary,CNN,Paper,https://arxiv.org/pdf/1511.08458.pdf,
Introduction to Convolutional Neural Networks,Gabriele De Luca,,,Primary,CNN,Article,https://www.baeldung.com/cs/ai-convolutional-neural-networks,
Quora Question: [Are there any video games that use neural networks for their AI?],Travis Addair,,,Secondary,,Article,https://www.quora.com/Are-there-any-video-games-that-use-neural-networks-for-their-AI,
Comprehensive Biomedical Physics,Z.R Yang and Z. Yang,,,Secondary,,Paper,https://www.sciencedirect.com/topics/neuroscience/artificial-neural-network,2014
Applications of Neural-Based Agents in Computer Game Design,Joseph Qualls and David J. Russomanno,,,Secondary,,,https://www.intechopen.com/chapters/10916#B15,2009
CoAtNet: how to perfectly combine CNNs and Transformers,,,,Primary,"CNN, Neural Network, Transformer",Article,https://medium.com/codex/coatnet-how-to-perfectly-combine-cnns-and-transformer-9632e187ecbf,
